# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+08,1.375315573611942E-02,5.552284171992800E-03,8.646591623242909E-01,4.237534521069068E-01,8.902026145944618E-01,3.533307073713442E-01,8.992776247655255E-03,-1.111727675703404E-02,
1.098000000000000E+08,6.968585626038407E-03,-1.696676144524218E-02,9.563361446979288E-01,-1.132454363589849E-01,9.409542764318851E-01,-1.866879001512381E-01,-2.390667385659951E-02,-1.695606933154414E-02,
1.196000000000000E+08,-1.214291481993156E-02,-2.075106380287259E-02,7.412831728808350E-01,-6.129150553328463E-01,6.881477785390144E-01,-6.670775537365585E-01,-3.846406468103156E-02,1.435303431198492E-02,
1.294000000000000E+08,-1.658617935551695E-02,-6.997768776067952E-03,2.909236496045614E-01,-9.157124973427990E-01,2.118817951599982E-01,-9.363935800134019E-01,-1.308847571690015E-02,3.514170501501503E-02,
1.392000000000000E+08,-6.531859531503472E-03,-4.831049678589688E-05,-2.534785129845222E-01,-9.269558331415912E-01,-3.366621628124922E-01,-9.024787595131778E-01,1.167866487176231E-02,1.719788915447532E-02,
1.490000000000000E+08,5.814324765892879E-04,-1.694489720928218E-02,-7.177486143698593E-01,-6.385094573402954E-01,-7.622518552035716E-01,-5.781225986547661E-01,2.978799602669636E-03,-8.648600884557269E-03,
1.588000000000000E+08,6.986563578168755E-03,-2.938996834241680E-02,-9.488578306605340E-01,-1.313142614358715E-01,-9.370719606026255E-01,-7.946058171765333E-02,-2.111633172351575E-02,-1.247861861185842E-02,
1.686000000000000E+08,4.876775071882672E-03,-3.790040281532194E-02,-8.697482319870035E-01,3.975151756965093E-01,-8.257456620611499E-01,4.479259975013302E-01,-3.978181047356737E-02,8.014124549826720E-03,
1.784000000000000E+08,3.803443550776320E-03,-4.407610129989481E-02,-5.194243492590248E-01,8.012935310654518E-01,-4.568153427224144E-01,8.336200526667985E-01,-2.663298168492610E-02,4.017648491508782E-02,
1.882000000000000E+08,-2.881202379751804E-03,-6.075849577788164E-02,-4.274598059764000E-03,9.531181587660376E-01,6.683208219796230E-02,9.473517755655657E-01,1.220755910585234E-02,3.734074567333267E-02,
1.980000000000000E+08,-1.668094109282545E-02,-5.935856224875231E-02,5.157416970605904E-01,7.998405819582487E-01,5.700396482780478E-01,7.566856158863914E-01,2.178255043734958E-02,-1.214172584843697E-03,
2.078000000000000E+08,-1.967938620979121E-02,-4.196693716346974E-02,8.659867672841246E-01,3.889507587250799E-01,8.868093999265785E-01,3.253391509001452E-01,-9.644218739228095E-03,-2.188762720311579E-02,
2.176000000000000E+08,1.861499015570794E-03,-3.613053089249674E-02,9.355840286969154E-01,-1.428696456203168E-01,9.198740584876878E-01,-2.085119706512604E-01,-3.829524771657050E-02,-2.026430434588261E-03,
2.274000000000000E+08,1.847527374710754E-02,-6.005799810548858E-02,7.071735120692243E-01,-6.251475524844735E-01,6.582935834431594E-01,-6.741247031756238E-01,-3.467065819185845E-02,2.862584990173432E-02,
2.372000000000000E+08,8.936192634601133E-04,-8.748710474290422E-02,2.558430153428310E-01,-9.058254675530200E-01,1.895234083103536E-01,-9.204771019009362E-01,-1.157703652493311E-02,4.006480861356422E-02,
2.470000000000000E+08,-3.312585404311924E-02,-8.313163104255443E-02,-2.766724782081280E-01,-8.983669071043016E-01,-3.402933696455346E-01,-8.743774877099607E-01,9.294144525770915E-03,3.173653729715543E-02,
2.568000000000000E+08,-4.312888387284135E-02,-5.363915087654040E-02,-7.183147166390729E-01,-6.039010820039081E-01,-7.621643167487486E-01,-5.509421007681998E-01,1.771708442999144E-02,1.186266346345256E-02,
2.666000000000000E+08,-1.831163525824544E-02,-3.674169278223256E-02,-9.297930275372718E-01,-1.167049047188794E-01,-9.392695174701540E-01,-4.765373686958145E-02,6.828107906942080E-03,-1.120514956305626E-02,
2.764000000000000E+08,6.943275271691813E-03,-5.699174075268665E-02,-8.423434305275016E-01,4.056435215127663E-01,-8.082639652412177E-01,4.709333340388053E-01,-2.547729486753540E-02,-1.698675710152123E-02,
2.862000000000000E+08,-6.414918631039224E-03,-9.397035544060170E-02,-4.863161656670341E-01,7.962719088488345E-01,-4.213975401894980E-01,8.324852204153004E-01,-5.318662097189763E-02,1.476860737021892E-02,
2.960000000000000E+08,-4.894674855356443E-02,-9.941496313027008E-02,2.394491614814346E-02,9.303238042066595E-01,9.359477543241891E-02,9.243182676840820E-01,-3.634865774306190E-02,6.377654387311962E-02,
3.058000000000000E+08,-7.490536418468299E-02,-6.271416855055503E-02,5.245247381726793E-01,7.670291919697181E-01,5.769997080405620E-01,7.272126130867794E-01,2.359375964918409E-02,7.447460538591065E-02,
3.156000000000000E+08,-5.364225509609778E-02,-2.558035403741842E-02,8.563490108187203E-01,3.594663507732332E-01,8.801380676852160E-01,2.981830890237200E-01,6.426245114884493E-02,2.083570804046698E-02,
3.254000000000000E+08,-1.415415178981862E-02,-3.184435911539298E-02,9.132095626434678E-01,-1.639737984858221E-01,8.998252770237576E-01,-2.272844779027371E-01,3.000636522794098E-02,-4.404062304471749E-02,
3.352000000000000E+08,-1.133736195910378E-02,-6.902739434208317E-02,6.752148057251184E-01,-6.325322439497240E-01,6.302052058136439E-01,-6.778150972388692E-01,-4.725287211276760E-02,-3.898413710615706E-02,
3.450000000000000E+08,-4.684935911291020E-02,-8.264581040518260E-02,2.231684596798560E-01,-8.951735308078735E-01,1.656720853494547E-01,-9.071838317493820E-01,-7.501041679871820E-02,3.690961803487846E-02,
3.548000000000000E+08,-7.365195275018344E-02,-5.225925635129629E-02,-2.954044403379417E-01,-8.720526738905874E-01,-3.478401553082872E-01,-8.526471642704204E-01,-1.596073359910285E-02,9.480754354965487E-02,
